date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1995-01-01,0,1.9420241069925815e-5,2.1578045633250904e-6,3.7545799401856575e-4,2.546209384723607e-4,6.473413689975272e-6,2.3520069740243487e-4
1995-02-01,0,2.277748673211398e-5,0,3.097738195567501e-4,2.7560758945857915e-4,9.110994692845592e-6,3.052183222103273e-4
1995-03-01,0,3.356738356067008e-5,0,2.4681899676963297e-4,3.4752114745164323e-4,1.9745519741570638e-5,2.5866630861457536e-4
1995-04-01,0,3.1456366873509753e-05,2.0970911249006503e-6,3.606996734829119e-4,4.110298604805275e-4,6.291273374701951e-6,3.4392294448370666e-4
1995-05-01,0,8.124483333638e-6,0,3.270104541789296e-4,5.159046916860131e-4,1.6248966667276e-5,2.8435691667733006e-4
1995-06-01,2.0776673613001212e-6,1.869900625170109e-5,0,3.635917882275212e-4,4.7578582573772776e-4,4.1553347226002425e-6,4.217664743439246e-4
1995-07-01,0,3.859853025374245e-5,0,3.602529490349295e-4,4.1386201883179406e-4,1.5010539543122064e-5,3.3452059553243455e-4
1995-08-01,0,2.9104697914024723e-5,4.1578139877178175e-6,3.762821658884625e-4,2.95204793127965e-4,1.0394534969294543e-5,2.868891651525294e-4
1995-09-01,0,2.0618386652481216e-5,2.0618386652481216e-6,2.680390264822558e-4,4.082440557191281e-4,6.185515995744365e-6,2.1443122118580465e-4
1995-10-01,0,3.6612249302440306e-5,0,3.6226857204519876e-4,3.33364164701167e-4,1.1561762937612727e-5,2.5243182413787785e-4
1995-11-01,0,7.960103958957704e-6,0,2.726335605943014e-4,3.462645222146601e-4,5.970077969218278e-6,4.417857697221526e-4
1995-12-01,0,1.854312822573168e-5,0,3.09052137095528e-4,5.480524564494031e-4,4.120695161273707e-6,2.575434475796067e-4
1996-01-01,1.9050485692132722e-6,3.619592281505217e-5,0,2.9909262536648374e-4,6.85817484916778e-4,1.7145437122919447e-5,3.5243398530445535e-4
1996-02-01,0,2.518818480377435e-5,0,2.7513248016430446e-4,3.8363543008825555e-4,7.750210708853647e-6,2.9063290158201177e-4
1996-03-01,0,1.5935267402639943e-5,0,2.69128960577919e-4,4.0369344086687854e-4,1.947643793655993e-5,2.6027603424311907e-4
1996-04-01,0,2.4209648103453413e-5,0,2.9982718035815383e-4,3.9107893090193973e-4,1.6760525610083132e-5,2.8492893537141324e-4
